product_id,product_name,product_keywords,product_aliases,product_category,source_file
ABW810,GT-BONEWAX (2 GM),GT-BONEWAX (2 GM) BONEWAX X 2 GM Aspiron Aspiron Others Others P-1 NCV Section M,gt bonewax 2 gm;gt bonewax gm;bonewax gm;gt bonewax;bonewax;aspiron;aspiron others,Others | P-1 | NCV | Section M,EndoProducts.csv
ACGC01 4226,GT-CHROMIC CATGUT 1 X 76-45MM 3/8 Circle Round Body,GT-CHROMIC CATGUT 1 X 76-45MM 3/8 Circle Round Body CHROMIC CATGUT 1 X 76-45MM 3/8 CIRCLE ROUND BODY Aspiron Aspiron Suture P-1 NCV Section M,gt chromic catgut 1 x 76 45mm 3 8 circle round body;chromic catgut 45mm;catgut 45mm circle;45mm circle round;circle round body;gt chromic catgut;chromic catgut;circle round;45mm circle;catgut 45mm;gt chromic;round body;chromic;catgut;circle;round;45mm;body;aspiron,Suture | P-1 | NCV | Section M,EndoProducts.csv
ACGC01 4227,GT-CHROMIC CATGUT 1 X 100-45MM 1/2 Circle Round Body,GT-CHROMIC CATGUT 1 X 100-45MM 1/2 Circle Round Body CHROMIC CATGUT 1 X 100-45MM 1/2 CIRCLE ROUND BODY Aspiron Aspiron Suture P-1 NCV Section M,gt chromic catgut 1 x 100 45mm 1 2 circle round body;chromic catgut 45mm;catgut 45mm circle;45mm circle round;circle round body;gt chromic catgut;chromic catgut;circle round;45mm circle;catgut 45mm;gt chromic;round body;chromic;catgut;circle;round;45mm;body;aspiron,Suture | P-1 | NCV | Section M,EndoProducts.csv
ACGC01 4248,GT-CHROMIC CATGUT 1 X 100-50MM 1/2 Circle Round Body,GT-CHROMIC CATGUT 1 X 100-50MM 1/2 Circle Round Body CHROMIC CATGUT 1 X 100-50MM 1/2 CIRCLE ROUND BODY Aspiron Aspiron Suture P-1 NCV Section M,gt chromic catgut 1 x 100 50mm 1 2 circle round body;chromic catgut 50mm;catgut 50mm circle;50mm circle round;circle round body;gt chromic catgut;chromic catgut;circle round;50mm circle;catgut 50mm;gt chromic;round body;chromic;catgut;circle;round;50mm;body;aspiron,Suture | P-1 | NCV | Section M,EndoProducts.csv
ACGC01 4259,GT-CHROMIC CATGUT 1 X 76-40MM 1/2 Circle Round Body,GT-CHROMIC CATGUT 1 X 76-40MM 1/2 Circle Round Body CHROMIC CATGUT 1 X 76-40MM 1/2 CIRCLE ROUND BODY Aspiron Aspiron Suture P-1 NCV Section M,gt chromic catgut 1 x 76 40mm 1 2 circle round body;chromic catgut 40mm;catgut 40mm circle;40mm circle round;circle round body;gt chromic catgut;chromic catgut;circle round;40mm circle;catgut 40mm;gt chromic;round body;chromic;catgut;circle;round;40mm;body;aspiron,Suture | P-1 | NCV | Section M,EndoProducts.csv
ACGC02 4228,GT-CHROMIC CATGUT 2 X 100-45MM 1/2 Circle Round Body,GT-CHROMIC CATGUT 2 X 100-45MM 1/2 Circle Round Body CHROMIC CATGUT 2 X 100-45MM 1/2 CIRCLE ROUND BODY Aspiron Aspiron Suture P-1 NCV Section M,gt chromic catgut 2 x 100 45mm 1 2 circle round body;chromic catgut 45mm;catgut 45mm circle;45mm circle round;circle round body;gt chromic catgut;chromic catgut;circle round;45mm circle;catgut 45mm;gt chromic;round body;chromic;catgut;circle;round;45mm;body;aspiron,Suture | P-1 | NCV | Section M,EndoProducts.csv
ACGC10 4221,GT-CHROMIC CATGUT 0 X 76-40MM 3/8 Circle Round Body,GT-CHROMIC CATGUT 0 X 76-40MM 3/8 Circle Round Body CHROMIC CATGUT 0 X 76-40MM 3/8 CIRCLE ROUND BODY Aspiron Aspiron Suture P-1 NCV Section M,gt chromic catgut 0 x 76 40mm 3 8 circle round body;chromic catgut 40mm;catgut 40mm circle;40mm circle round;circle round body;gt chromic catgut;chromic catgut;circle round;40mm circle;catgut 40mm;gt chromic;round body;chromic;catgut;circle;round;40mm;body;aspiron,Suture | P-1 | NCV | Section M,EndoProducts.csv
ACGC10 4229,GT-CHROMIC CATGUT 0 X 100-45MM 1/2 Circle Round Body,GT-CHROMIC CATGUT 0 X 100-45MM 1/2 Circle Round Body CHROMIC CATGUT 0 X 100-45MM 1/2 CIRCLE ROUND BODY Aspiron Aspiron Suture P-1 NCV Section M,gt chromic catgut 0 x 100 45mm 1 2 circle round body;chromic catgut 45mm;catgut 45mm circle;45mm circle round;circle round body;gt chromic catgut;chromic catgut;circle round;45mm circle;catgut 45mm;gt chromic;round body;chromic;catgut;circle;round;45mm;body;aspiron,Suture | P-1 | NCV | Section M,EndoProducts.csv
ACGC10 4242,GT-CHROMIC CATGUT 0 X 76-30MM 1/2 Circle Round Body,GT-CHROMIC CATGUT 0 X 76-30MM 1/2 Circle Round Body CHROMIC CATGUT 0 X 76-30MM 1/2 CIRCLE ROUND BODY Aspiron Aspiron Suture P-1 NCV Section M,gt chromic catgut 0 x 76 30mm 1 2 circle round body;chromic catgut 30mm;catgut 30mm circle;30mm circle round;circle round body;gt chromic catgut;chromic catgut;circle round;30mm circle;catgut 30mm;gt chromic;round body;chromic;catgut;circle;round;30mm;body;aspiron,Suture | P-1 | NCV | Section M,EndoProducts.csv
ACGC10 4246,GT-CHROMIC CATGUT 0 X 76-40MM 1/2 Circle Round Body,GT-CHROMIC CATGUT 0 X 76-40MM 1/2 Circle Round Body CHROMIC CATGUT 0 X 76-40MM 1/2 CIRCLE ROUND BODY Aspiron Aspiron Suture P-1 NCV Section M,gt chromic catgut 0 x 76 40mm 1 2 circle round body;chromic catgut 40mm;catgut 40mm circle;40mm circle round;circle round body;gt chromic catgut;chromic catgut;circle round;40mm circle;catgut 40mm;gt chromic;round body;chromic;catgut;circle;round;40mm;body;aspiron,Suture | P-1 | NCV | Section M,EndoProducts.csv
ACGC20 4216,GT-CHROMIC CATGUT 2-0 X 76-30MM 3/8 Circle Round Body,GT-CHROMIC CATGUT 2-0 X 76-30MM 3/8 Circle Round Body CHROMIC CATGUT 2-0 X 76-30MM 3/8 CIRCLE ROUND BODY Aspiron Aspiron Suture P-1 NCV Section M,gt chromic catgut 2 0 x 76 30mm 3 8 circle round body;chromic catgut 30mm;catgut 30mm circle;30mm circle round;circle round body;gt chromic catgut;chromic catgut;circle round;30mm circle;catgut 30mm;gt chromic;round body;chromic;catgut;circle;round;30mm;body;aspiron,Suture | P-1 | NCV | Section M,EndoProducts.csv
