Sr No,Fiscal Year,Bid/Direct,Date,Month,Contract No.,Contract Value,Bid No.,Zonal Head,Department Name,Department Location,Department State,Seller Name,Seller Location,Seller State,Seller Contact No.,Category,Decode,Brand Name,Company Name,Meril / Others,Ordered Qty,Unit Price (Incl. of GST),Total Price,DB/COMPANY,Meril DB,Remarks,Gem Seller Id
1,2025-26,Bid/RA,15-11-2025,November,GEMC-511687733553111,7920,GEM/2025/B/6611252,Rana Nandy,Employees State Insurance Corporation,ESIC HOSPITAL JOKA DIAMOND HARBOUR ROAD SOUTH 24 PARAGANAS WEST BENGAL700104 India,West Bengal,APPLE SUTURE INVENT,"32/1,Rajendhira Hospital,Gandhi road,Tiruvanaikoil, Tiruchirappalli, TAMIL NADU-620005, -",Tamil Nadu,9345783040,Sutures (V3),3336,Tamlon,"TAMRON CO., LTD",Others,360,22,7920,Company,NO,,T37I210001990985
2,2025-26,Bid/RA,14-11-2025,November,GEMC-511687799968069,470484,GEM/2025/B/6374804,Yellesh M,Sree Chitra Tirunal Institute for Medical Sciences and Technology (SCTIMST),Sree Chitra Tirunal Institute For Medical Science and TechnologyMedical College PO Triavndrum Thiruvananthapuram KERALA695011 India,Kerala,ASWINI HEALTH SPECIALITIES (INDIA) PRIVATE LIMITED,"IV675,FERRY ROAD,KALAMASSERY,-Ernakulam, KERALA-683104, -",Kerala,4842550121,Sutures (V3),PNW687,ETHICON,JOHNSON & JOHNSON ETHICON ENDOSURGERY,Others,720,653.45,470484,Company,NO,,PNJK220006632851
3,2025-26,Bid/RA,12-11-2025,November,GEMC-511687703775878,18933432,GEM/2025/B/6197607,Deepak Kumar Agrawal,Central Health Service Ministry of Health and Family Welfare,OFFICE OF THE MEDICAL SUPERINTENDENT SAFDARJUNG HOSPITAL NEW DELHI110029 NEW DELHI DELHI110029 India,Delhi,SUDHA SHAKTI SURGICALS,"Plot No-L-7,,Basement & Ground Floor Block L,Green Park Extension Market,Green Park Extension,-South West delhi, DELHI-110016, India",Delhi,9899818782,Sutures (V3),VP2347,ETHICON,JOHNSON & JOHNSON ETHICON ENDOSURGERY,Others,43010,440.21,18933432.1,Distributor,NO,,8A56180000107451
4,2025-26,Bid/RA,12-11-2025,November,GEMC-511687703775878,18933432,GEM/2025/B/6197607,Deepak Kumar Agrawal,Central Health Service Ministry of Health and Family Welfare,OFFICE OF THE MEDICAL SUPERINTENDENT SAFDARJUNG HOSPITAL NEW DELHI110029 NEW DELHI DELHI110029 India,Delhi,SUDHA SHAKTI SURGICALS,"Plot No-L-7,,Basement & Ground Floor Block L,Green Park Extension Market,Green Park Extension,-South West delhi, DELHI-110016, India",Delhi,9899818782,Sutures (V3),VP2304,ETHICON,JOHNSON & JOHNSON ETHICON ENDOSURGERY,Others,14035,365.22,5125862.7,Distributor,NO,,8A56180000107451
5,2025-26,Bid/RA,12-11-2025,November,GEMC-511687703775878,18933432,GEM/2025/B/6197607,Deepak Kumar Agrawal,Central Health Service Ministry of Health and Family Welfare,OFFICE OF THE MEDICAL SUPERINTENDENT SAFDARJUNG HOSPITAL NEW DELHI110029 NEW DELHI DELHI110029 India,Delhi,SUDHA SHAKTI SURGICALS,"Plot No-L-7,,Basement & Ground Floor Block L,Green Park Extension Market,Green Park Extension,-South West delhi, DELHI-110016, India",Delhi,9899818782,Sutures (V3),VP2303,ETHICON,JOHNSON & JOHNSON ETHICON ENDOSURGERY,Others,7952,340.86,2710518.72,Distributor,NO,,8A56180000107451
6,2025-26,Bid/RA,10-11-2025,November,GEMC-511687720137372,5280,GEM/2025/B/6732317,Yellesh M,Employees State Insurance Corporation (ESIC),& Super Specialty Hospital Asramam KOLLAM CITY KERALA691002 India,Kerala,AQMEN MEDTECH PRIVATE LIMITED,"Site No.46/1, 9th Mile,Nanjundeshwara Layout, Tumkur Road, Chikkabiddrekallu,Nagasandra Post, Bengaluru Urban,Bengaluru, Bangalore, KARNATAKA-560073, -",Karnataka,7760741327,Sutures (V3),AM 2534,AQSOLVE,AQMEN MEDTECH PRIVATE LIMITED,Others,96,55,5280,Company,NO,,K4OS210003907957
7,2025-26,Bid/RA,11-11-2025,November,GEMC-511687712062107,5100,GEM/2025/B/6683420,Rana Nandy,Employees State Insurance Corporation,ESIC HOSPITAL JOKA DIAMOND HARBOUR ROAD SOUTH 24 PARAGANAS WEST BENGAL700104 India,West Bengal,AQMEN MEDTECH PRIVATE LIMITED,"Site No.46/1, 9th Mile,Nanjundeshwara Layout, Tumkur Road, Chikkabiddrekallu,Nagasandra Post, Bengaluru Urban,Bengaluru, Bangalore, KARNATAKA-560073, -",Karnataka,7760741327,Sutures (V3),AM 9262 N40,AQPDsyn,Aqmen Medtech Private Limited,Others,60,85,5100,Company,NO,,K4OS210003907957
8,2025-26,Bid/RA,03-11-2025,November,GEMC-511687709068564,102400,GEM/2025/B/6409972,Yellesh M,Sree Chitra Tirunal Institute for Medical Sciences and Technology (SCTIMST),Sree Chitra Tirunal Institute For Medical Science and TechnologyMedical College PO Triavndrum Thiruvananthapuram KERALA695011 India,Kerala,DOCTORS PHARMA,"T.C-96/2912, PNAA 705,PRASANTH NAGAR,PRASANTH NAGAR,MEDICAL COLLEGE P.O., Thiruvananthapuram, KERALA-695011, -",Kerala,9447205658,Sutures (V3),SN8556LP,TRULENE,HEALTHIUM MEDTECH LIMITED,Others,640,160,102400,Distributor,NO,,HSBT220006082944
9,2025-26,Bid/RA,03-11-2025,November,GEMC-511687793556454,102400,GEM/2025/B/6409972,Yellesh M,Sree Chitra Tirunal Institute for Medical Sciences and Technology (SCTIMST),Sree Chitra Tirunal Institute For Medical Science and TechnologyMedical College PO Triavndrum Thiruvananthapuram KERALA695011 India,Kerala,MERIL ENDO SURGERY PRIVATE LIMITED,"NO. 135-139,BILAKHIA HOUSE,MUKTANAND MARG,CHALA, VAPI, GUJARAT-396191, -",Gujarat,8140065678,Sutures (V3),FILAPROP PPL50 8556,filaprop,MERIL ENDO SURGERY PVT. LTD,Meril,640,160,102400,Company,NO,,0DAA180000108070
10,2025-26,Bid/RA,03-11-2025,November,GEMC-511687778886136,102400,GEM/2025/B/6409972,Yellesh M,Sree Chitra Tirunal Institute for Medical Sciences and Technology (SCTIMST),Sree Chitra Tirunal Institute For Medical Science and TechnologyMedical College PO Triavndrum Thiruvananthapuram KERALA695011 India,Kerala,medi bright associates,"THEJUS,PUTHENANAGADI,ARANATTUKARA,Village/Town - THRISSUR, City - THRISSUR, THRISSUR, KERALA-680618, India",Kerala,9895311033,Sutures (V3),P 8556,centilene,Centenial Surgical Suture Ltd,Others,640,160,102400,Distributor,NO,,ZRFN210003467805
