Sr. No.,Tender Id,T247 Id,Tender Number,Meril Ref No,New Govt Code,Distributor Master,Zonal Head Name,Front Line Sales,HO Name,Site Location,Tender Due Date,Pre Bid Meeting Date,Quantity,Uom,Sap Material Code,Model,Lob,Segment,Sales Cat,status,Remarks,Estimated Cost,Final Remarks,Bidder Company,Bidder Model,Bidder Price,Bidder Rank
1,32,89482478,2025_RMSCL_479889_1,123,,A.R. Pharma & Surgicals,Ashish Hasija,Vivechana,Vijay,"Jaipur, Rajasthan, India",18-11-2025,ref to doc,,12,PGN01 2319,PGLA VIO 1 X 90-36MM HC TC,Suture,Suture - Synab,P-1,N/A,ac,2890000000,,,,,
2,8832,93893234,MSC2526GLRC00018,,,,,,,"Jaipur, Rajasthan, India",11-11-2025,19-06-2025,,,,,,,,N/A,,2890000000,,,,,
3,6033,93146797,2025_ALIMC_880020_1,,,,,,,"Tikamgarh, Madhya Pradesh, India",05-11-2025,14-10-2025,,,,,,,,N/A,,2059600000,,,,,
4,129,91220149,2025_UMSCL_1064059_1,,,,,,,"Lucknow, Uttar Pradesh, India",17-11-2025,13-08-2025,,,,,,,,N/A,,1894315019,,,,,
5,22,88238880,2025_RMSCL_466973_1,,,,,,,"Jaipur, Rajasthan, India",30-10-2025,ref to doc,,,,,,,,N/A,,973700000,,,,,
6,4405,92694933,MSC2526GLRC00007,,,,,,,"Jaipur, Rajasthan, India",06-10-2025,03-05-2025,,,,,,,,N/A,,973700000,,,,,
7,5045,92869955,2025_SGPGI_1077215_1,,,,,,,"Lucknow, Uttar Pradesh, India",17-10-2025,,,,,,,,,N/A,,700000000,,,,,
8,4306,92674882,MSC2526GLRC00036,,,,,,,"Jaipur, Rajasthan, India",16-10-2025,ref to doc,,,,,,,,N/A,,697000000,,,,,
9,4691,92774935,2025_DHS_24739_1,,,,,,,"North Goa, Goa, India",07-11-2025,30-09-2025,,,,,,,,N/A,,650000000,,,,,
10,5969,93086617,2025_CEPW_151286_1,,,,,,,"Patiala, Punjab, India",04-11-2025,,,,,,,,,N/A,,531162268,,,,,
11,3814,92513920,2025_MERDM_1219062_1,,,,,,,"Mumbai, Maharashtra, India",07-10-2025,19-09-2025,,,,,,,,N/A,,428900000,,,,,
12,2834,92292904,2025_MERDM_1216907_1,,,,,,,"Mumbai, Maharashtra, India",17-10-2025,16-09-2025,,,,,,,,N/A,,413236150,,,,,
13,1879,92152827,2025_MERDM_1215925_1,,,,,,,"Mumbai, Maharashtra, India",17-10-2025,12-09-2025,,,,,,,,N/A,,403104750,,,,,
14,2786,92292911,2025_MERDM_1216924_1,,,,,,,"Mumbai, Maharashtra, India",17-10-2025,16-09-2025,,,,,,,,N/A,,402769000,,,,,
15,2800,92302008,2025_MERDM_1216857_1,,,,,,,"Mumbai, Maharashtra, India",17-10-2025,10-09-2025,,,,,,,,N/A,,400000000,,,,,
16,1878,92152823,2025_MERDM_1215923_1,,,,,,,"Mumbai, Maharashtra, India",17-10-2025,12-09-2025,,,,,,,,N/A,,390796000,,,,,
17,2835,92292906,2025_MERDM_1216912_1,,,,,,,"Mumbai, Maharashtra, India",17-10-2025,16-09-2025,,,,,,,,N/A,,383751275,,,,,
18,1877,92152822,2025_MERDM_1215924_1,,,,,,,"Mumbai, Maharashtra, India",17-10-2025,12-09-2025,,,,,,,,N/A,,383084000,,,,,
19,2184,92074933,2025_UPRNN_1060771_2,,,,,,,"Allahabad, Uttar Pradesh, India",15-09-2025,08-09-2025,,,,,,,,N/A,,381765000,,,,,
