Sr. No.,Tender Id,T247 Id,Tender Number,Meril Ref No,New Govt Code,Distributor Master,Zonal Head Name,Front Line Sales,HO Name,Site Location,Tender Due Date,Pre Bid Meeting Date,Quantity,Uom,Sap Material Code,Model,Lob,Segment,Sales Cat,status,Remarks,Estimated Cost,Final Remarks,Bidder Company,Bidder Model,Bidder Price,Bidder Rank
1,11310,94541220,2025_HRY_483129_1,,,,,,,"Hisar, Haryana, India",04-12-2025,,,,,,,,,N/A,,200000000,,,,,
2,13205,95031119,2025_PWD_121781_2,,,,,,,"Mandi, Himachal Pradesh, India",04-12-2025,ref to doc,,,,,,,,N/A,,21493906,,,,,
3,13214,95032285,GEM/2025/B/6806271,,,,,,,"Pune, Maharashtra, India",17-12-2025,ref to doc,1620,,,,,,,N/A,,19674000,,,,,
4,13063,94992631,2025_AIMSD_887038_2,,,,,,,"New Delhi, Delhi, India",22-12-2025,,,,,,,,,N/A,,15000000,,,,,
5,13099,94991980,GEM/2025/B/6880832,,,,,,,"Bangalore, Karnataka, India",16-12-2025,03-12-2025,15,,,,,,,N/A,,10006844,,,,,
6,13156,95017009,2025_AIMSD_887128_1,,,,,,,"New Delhi, Delhi, India",26-12-2025,03-12-2025,,,,,,,,N/A,,9000000,,,,,
7,13006,94968118,PWD/2025-26/IND0160,,,,,,,"Ballari, Karnataka, India",03-12-2025,,,,,,,,,N/A,,5335000,,,,,
8,13007,94968119,PWD/2025-26/IND0162,,,,,,,"Ballari, Karnataka, India",03-12-2025,,,,,,,,,N/A,,5335000,,,,,
9,13217,95032537,GEM/2025/B/6919127,,,,,,,"Surat, Gujarat, India",11-12-2025,ref to doc,160,,,,,,,N/A,,4000000,,,,,
10,13225,95038008,GEM/2025/B/6919304,,,,,,,"Surat, Gujarat, India",11-12-2025,ref to doc,145,,,,,,,N/A,,4000000,,,,,
11,13114,94995517,GEM/2025/B/6904190,,,,,,,"Vadodara, Gujarat, India",10-12-2025,,2790,,,,,,,N/A,,3700000,,,,,
12,13121,94999560,2025_AIMSD_887079_1,,,,,,,"New Delhi, Delhi, India",26-12-2025,03-12-2025,,,,,,,,N/A,,3600000,,,,,
13,13097,95000610,GEM/2025/B/6828216,,,,,,,"New Delhi, Delhi, India",05-12-2025,,39,,,,,,,N/A,,3500000,,,,,
14,13100,94992268,GEM/2025/B/6885376,,,,,,,"New Delhi, Delhi, India",05-12-2025,01-12-2025,1,,,,,,,N/A,,3375000,,,,,
15,13117,94997040,2025_TMC_887017_1,,,,,,,"Mumbai, Maharashtra, India",09-12-2025,01-12-2025,,,,,,,,N/A,,2900000,,,,,
16,13098,94925234,,,,,,,,"Kanpur, Uttar Pradesh, India",27-12-2025,ref to doc,,,,,,,,N/A,,2500000,,,,,
17,13197,95025254,2025_AIMSD_887148_1,,,,,,,"New Delhi, Delhi, India",26-12-2025,03-12-2025,,,,,,,,N/A,,2000000,,,,,
18,13062,94992500,GEM/2025/B/6883141,,,,,,,"Leh Ladakh, Jammu And Kashmir, India",05-12-2025,,30528,,,,,,,N/A,,1958977,,,,,
19,13223,95036106,2025_DRDP_154550_1,,,,,,,"Mansa, Punjab, India",11-12-2025,ref to doc,,,,,,,,N/A,,1934000,,,,,
20,13160,95017529,GEM/2025/B/6880314,,,,,,,"Shimla, Himachal Pradesh, India",05-12-2025,,7712,,,,,,,N/A,,1924114,,,,,
21,13215,95032493,GEM/2025/B/6918700,,,,,,,"Bahraich, Uttar Pradesh, India",17-12-2025,ref to doc,4000,,,,,,,N/A,,1920000,,,,,
22,13164,95024305,GEM/2025/B/6932227,,,,,,,"New Delhi, Delhi, India",17-12-2025,ref to doc,90000,,,,,,,N/A,,1853100,,,,,
23,13176,95017010,2025_AIMSD_887130_1,,,,,,,"New Delhi, Delhi, India",26-12-2025,03-12-2025,,,,,,,,N/A,,1500000,,,,,
24,13220,95034238,MHS2526GLRC05251,,,,,,,"Sojat, Rajasthan, India",15-12-2025,ref to doc,,,,,,,,N/A,,1500000,,,,,
25,13068,94993780,2025_WBPDC_956712_1,,,,,,,"Murshidabad, West Bengal, India",19-12-2025,ref to doc,,,,,,,,N/A,,1347760,,,,,
26,13216,95032528,GEM/2025/B/6868689,,,,,,,"Hyderabad, Telangana, India",09-12-2025,ref to doc,5000,,,,,,,N/A,,1100000,,,,,
27,13200,95029519,2025_SPDC_296402_1,,,,,,,"Srinagar, Jammu And Kashmir, India",09-12-2025,ref to doc,,,,,,,,N/A,,923000,,,,,
28,13119,94998689,2025_DME_463662_1,,,,,,,"Gwalior, Madhya Pradesh, India",15-12-2025,ref to doc,,,,,,,,N/A,,625000,,,,,
29,13166,95000673,GEM/2025/B/6860989,,,,,,,"Coimbatore, Tamil Nadu, India",05-12-2025,ref to doc,181466,,,,,,,N/A,,556129.59,,,,,
30,13154,95016838,648472-805/UB/GHMC/2025-26,,,,,,,"Secunderabad, Telangana, India",28-11-2025,ref to doc,,,,,,,,N/A,,509000,,,,,
31,13219,95033064,GEM/2025/B/6823271,,,,,,,"East Sikkim, Sikkim, India",08-12-2025,ref to doc,25052,,,,,,,N/A,,500000,,,,,
32,13074,94995079,GEM/2025/B/6907279,,,,,,,"Hyderabad, Telangana, India",10-12-2025,ref to doc,1,,,,,,,N/A,,400000,,,,,
33,13178,95018924,2025_HRY_485551_1,,,,,,,"Rohtak, Haryana, India",02-12-2025,ref to doc,,,,,,,,N/A,,326138,,,,,
34,9150,93971050,2025_MCGM_1233544_1,,,,,,,"Mumbai, Maharashtra, India",29-11-2025,ref to doc,,,,,,,,N/A,,300000,,,,,
35,13050,94989157,GEM/2025/B/6926684,,,,,,,"Adityapur, Jharkhand, India",16-12-2025,,90165,,,,,,,N/A,,300000,,,,,
36,13053,94989289,E NIVIDA 10/2025:246069:,,,,,,,"Limbdi, Gujarat, India",04-12-2025,ref to doc,,,,,,,,N/A,,300000,,,,,
37,13118,94998416,PHV2526WSRC00125,,,,,,,"Pali, Rajasthan, India",01-12-2025,ref to doc,,,,,,,,N/A,,200000,,,,,
38,13070,94994096,,,,,,,,"Bankura, West Bengal, India",01-12-2025,,,,,,,,,N/A,,192530,,,,,
39,13180,95003281,2025_IWD_938226_1,,,,,,,"Bankura, West Bengal, India",01-12-2025,ref to doc,,,,,,,,N/A,,192530,,,,,
