Sr. No.,Tender Id,T247 Id,Tender Number,Meril Ref No,New Govt Code,Distributor Master,Zonal Head Name,Front Line Sales,HO Name,Site Location,Tender Due Date,Pre Bid Meeting Date,Quantity,Uom,Sap Material Code,Model,Lob,Segment,Sales Cat,status,Remarks,Estimated Cost,Final Remarks,Bidder Company,Bidder Model,Bidder Price,Bidder Rank
1,10432,94322304,BR-HQ-KGP-25-26-07,,,,,,,"Kharagpur, West Bengal, India",22-12-2025,ref to doc,,,,,,,,N/A,,2795739480,,,,,
2,13011,94975302,2025_TMC_886917_1,,,,,,,"Mumbai, Maharashtra, India",31-12-2025,28-11-2025,,,,,,,,N/A,,1400000000,,,,,
3,12679,94872091,2025_HFWD_48828_1,,,,,,,"Kamrup, Assam, India",28-11-2025,ref to doc,,,,,,,,N/A,,800000000,,,,,
4,1,77821680,2024_OSMCL_103162_2,,,,,,,"Bhubaneswar, Orissa, India",15-12-2025,25-06-2024,,,,,,,,N/A,,720000000,,,,,
5,2,77821689,2024_OSMCL_103162_6,,,,,,,"Bhubaneswar, Orissa, India",15-12-2025,25-06-2024,,,,,,,,N/A,,720000000,,,,,
6,3,77821705,2024_OSMCL_103162_10,,,,,,,"Bhubaneswar, Orissa, India",15-12-2025,25-06-2024,,,,,,,,N/A,,720000000,,,,,
7,4,77821713,2024_OSMCL_103162_7,,,,,,,"Bhubaneswar, Orissa, India",15-12-2025,25-06-2024,,,,,,,,N/A,,720000000,,,,,
8,4337,92687785,2025_RMSCL_502609_1,,,,,,,"Jaipur, Rajasthan, India",09-12-2025,29-09-2025,,,,,,,,N/A,,697000000,,,,,
9,10799,94425262,2025_CEPW_153387_1,,,,,,,"Patiala, Punjab, India",01-12-2025,ref to doc,,,,,,,,N/A,,531162268,,,,,
10,9548,94099427,GEM/2025/B/6835849,,,,,,,"Bangalore, Karnataka, India",27-11-2025,07-11-2025,12,,,,,,,N/A,,400392506,,,,,
11,4338,92687792,2025_RMSCL_502664_1,,,,,,,"Jaipur, Rajasthan, India",09-12-2025,29-09-2025,,,,,,,,N/A,,265400000,,,,,
12,12188,94745600,IKDRC/D-21/RC/2025:243966:,,,,,,,"Ahmedabad, Gujarat, India",10-12-2025,ref to doc,,,,,,,,N/A,,245636187,,,,,
13,6181,93176888,2025_HRY_476291_1,,,,,,,"Hisar, Haryana, India",04-12-2025,ref to doc,,,,,,,,N/A,,240000000,,,,,
14,10837,94429729,2025_RMSCL_512229_1,,,,,,,"Jaipur, Rajasthan, India",10-12-2025,17-11-2025,,,,,,,,N/A,,227200000,,,,,
15,10537,94362091,2025_SGPGI_1088875_1,,,,,,,"Lucknow, Uttar Pradesh, India",27-11-2025,,,,,,,,,N/A,,220500000,,,,,
16,10613,94380728,2025_DHS_26047_1,,,,,,,"North Goa, Goa, India",19-01-2026,28-11-2025,,,,,,,,N/A,,220000000,,,,,
17,12654,94869166,2025_RMSCL_514846_1,,,,,,,"Jaipur, Rajasthan, India",18-12-2025,25-11-2025,,,,,,,,N/A,,202000000,,,,,
18,11310,94541220,2025_HRY_483129_1,,,,,,,"Hisar, Haryana, India",04-12-2025,,,,,,,,,N/A,,200000000,,,,,
19,11490,94592328,2025_PGIME_818894_1,,,,,,,"Chandigarh Ut, Chandigarh, India",15-12-2025,26-11-2025,,,,,,,,N/A,,200000000,,,,,
20,11882,94684361,2025_AIMSD_885862_1,,,,,,,"New Delhi, Delhi, India",03-01-2026,27-11-2025,,,,,,,,N/A,,197500000,,,,,
21,11489,94592325,2025_PGIME_818900_1,,,,,,,"Chandigarh Ut, Chandigarh, India",15-12-2025,26-11-2025,,,,,,,,N/A,,180000000,,,,,
22,12642,94866976,2025_MoRTH_886618_2,,,,,,,"Bhilwara, Rajasthan, India",22-12-2025,15-12-2025,,,,,,,,N/A,,145400000,,,,,
23,11178,94509460,2025_HBC_482929_1,,,,,,,"Panchkula, Haryana, India",03-12-2025,ref to doc,,,,,,,,N/A,,131300000,,,,,
24,9635,94122909,GEM/2025/B/6682862,,,,,,,"Raipur, Chhattisgarh, India",29-11-2025,06-11-2025,6888514,,,,,,,N/A,,117618400,,,,,
25,12660,94869134,2025_RMSCL_514869_1,,,,,,,"Jaipur, Rajasthan, India",18-12-2025,28-11-2025,,,,,,,,N/A,,117000000,,,,,
26,12912,94936854,MSC2526GLRC00052,,,,,,,"Jaipur, Rajasthan, India",18-12-2025,25-02-2025,,,,,,,,N/A,,117000000,,,,,
27,12184,94759888,2025_PWD_281468_1,,,,,,,"New Delhi, Delhi, India",09-12-2025,25-11-2025,,,,,,,,N/A,,113053752,,,,,
28,10034,94209946,2025_HRY_481265_1,,,,,,,"Rohtak, Haryana, India",04-12-2025,13-11-2025,,,,,,,,N/A,,110000000,,,,,
29,4818,92772776,2025_OSMCL_118440_2,,,,,,,"Khordha, Orissa, India",26-12-2025,03-10-2025,,,,,,,,N/A,,99200000,,,,,
30,10934,94454344,2025_LATUR_1243523_1,,,,,,,"Latur, Maharashtra, India",28-11-2025,,,,,,,,,N/A,,91468690,,,,,
31,12781,94913672,2025_IAF_739071_2,,,,,,,"Coimbatore, Tamil Nadu, India",12-12-2025,ref to doc,,,,,,,,N/A,,87407738,,,,,
32,12528,94844147,DME/2025-26/IND1812,,,,,,,"Ballari, Karnataka, India",19-12-2025,ref to doc,,,,,,,,N/A,,85081000,,,,,
33,8939,93924649,GEM/2025/B/6824814,,,,,,,"Lucknow, Uttar Pradesh, India",28-11-2025,,1,,,,,,,N/A,,80000000,,,,,
34,10036,94209972,2025_HRY_481302_1,,,,,,,"Rohtak, Haryana, India",04-12-2025,13-11-2025,,,,,,,,N/A,,79020000,,,,,
35,10944,94457983,2025_SCT_818527_1,,,,,,,"Thiruvananthapuram, Kerala, India",02-12-2025,20-11-2025,,,,,,,,N/A,,64800000,,,,,
36,714,91772702,GEM/2025/B/6595499,,,,,,,"Gautam Budhnagar, Uttar Pradesh, India",29-11-2025,ref to doc,1,,,,,,,N/A,,55000000,,,,,
37,11522,94586592,GEM/2025/B/6887042,,,,,,,"Varanasi, Uttar Pradesh, India",05-12-2025,ref to doc,91,,,,,,,N/A,,53787820,,,,,
38,10540,94370495,GEM/2025/B/6866691,,,,,,,"Dakshina Kannada, Karnataka, India",28-11-2025,ref to doc,1,,,,,,,N/A,,53365500,,,,,
39,12906,94947253,2025_MCGM_1222733_2,,,,,,,"Mumbai, Maharashtra, India",08-12-2025,01-12-2025,,,,,,,,N/A,,53333280,,,,,
40,11343,94549320,2025_OSD_67062_1,,,,,,,"West Tripura, Tripura, India",27-11-2025,18-11-2025,,,,,,,,N/A,,53011404,,,,,
41,8108,93650009,2025_SPMCB_508238_1,,,,,,,"Bikaner, Rajasthan, India",27-11-2025,24-10-2025,,,,,,,,N/A,,50000000,,,,,
42,12880,94945386,GEM/2025/B/6913570,,,,,,,"Bhilai, Chhattisgarh, India",06-12-2025,ref to doc,160,,,,,,,N/A,,48734001.59,,,,,
43,10790,94420429,MHS2526WSOB04916,,,,,,,"Jaipur, Rajasthan, India",08-12-2025,ref to doc,,,,,,,,N/A,,47200000,,,,,
44,12404,94815548,2025_MEDIC_513615_2,,,,,,,"Jaipur, Rajasthan, India",08-12-2025,,,,,,,,,N/A,,47200000,,,,,
45,12641,94877235,SE/PC/HR/T-05/2025-26,,,,,,,"Bhandup, Maharashtra, India",07-12-2025,02-12-2025,,,,,,,,N/A,,46500000,,,,,
46,10304,94290630,,,,,,,,"Bangalore, Karnataka, India",10-12-2025,,,,,,,,,N/A,,43300000,,,,,
47,11291,94538694,2025_TANSI_622870_1,,,,,,,"Dindigul, Tamil Nadu, India",13-12-2025,28-11-2025,,,,,,,,N/A,,40100000,,,,,
48,3840,92557287,2025_SMSMC_501515_1,,,,,,,"Jaipur, Rajasthan, India",16-12-2025,23-09-2025,,,,,,,,N/A,,40000000,,,,,
49,9236,94007580,GEM/2025/B/6833612,,,,,,,"Pondicherry, Puducherry, India",28-11-2025,ref to doc,1,,,,,,,N/A,,39000000,,,,,
50,441,91654959,2025_SMSMC_495705_1,,,,,,,"Jaipur, Rajasthan, India",17-12-2025,29-08-2025,,,,,,,,N/A,,37000000,,,,,
51,10658,94367922,20-Sr-DEN-I-LKO-2025-26,,,,,,,"Lucknow, Uttar Pradesh, India",01-12-2025,,,,,,,,,N/A,,36882228.11,,,,,
52,11546,94597165,GEM/2025/B/6890579,,,,,,,"Lucknow, Uttar Pradesh, India",05-12-2025,,3,,,,,,,N/A,,32269145.06,,,,,
53,4450,92710703,GEM/2025/B/6701568,,,,,,,"New Delhi, Delhi, India",29-11-2025,,301,,,,,,,N/A,,30000000,,,,,
54,6722,93304495,GEM/2025/B/6765172,,,,,,,"New Delhi, Delhi, India",28-11-2025,15-10-2025,2,,,,,,,N/A,,30000000,,,,,
55,12794,94915039,GEM/2025/B/6908472,,,,,,,"Lucknow, Uttar Pradesh, India",13-12-2025,24-11-2025,1,,,,,,,N/A,,30000000,,,,,
56,12854,94927604,CMK2526GLOB00174,,,,,,,"Kota, Rajasthan, India",18-12-2025,ref to doc,,,,,,,,N/A,,30000000,,,,,
57,12367,94802817,GEM/2025/B/6909627,,,,,,,"Shillong, Meghalaya, India",19-12-2025,ref to doc,1,,,,,,,N/A,,29500000,,,,,
58,12401,94810685,2025_PWDRP_1249052_1,,,,,,,"Pune, Maharashtra, India",27-11-2025,25-11-2025,,,,,,,,N/A,,29260098,,,,,
59,10035,94209970,2025_HRY_481294_1,,,,,,,"Rohtak, Haryana, India",04-12-2025,13-11-2025,,,,,,,,N/A,,28080000,,,,,
60,11380,94553943,GEM/2025/B/6875031,,,,,,,"Bhopal, Madhya Pradesh, India",01-12-2025,17-11-2025,38400000,,,,,,,N/A,,27264000,,,,,
61,12402,94810686,2025_PWDRP_1249052_2,,,,,,,"Pune, Maharashtra, India",27-11-2025,25-11-2025,,,,,,,,N/A,,26849802,,,,,
62,34,89566745,CMS2526GLOB00036,,,,,,,"Jaipur, Rajasthan, India",09-06-2026,ref to doc,,,,,,,,N/A,,25600000,,,,,
63,10925,94451910,GEM/2025/B/6763278,,,,,,,"Pune, Maharashtra, India",26-11-2025,ref to doc,121490,,,,,,,N/A,,24707182,,,,,
64,4634,92767122,2025_NAVY_731990_1,,,,,,,"Uttara Kannada, Karnataka, India",10-12-2025,ref to doc,,,,,,,,N/A,,23858534,,,,,
65,10494,94344532,GEM/2025/B/6843100,,,,,,,"New Delhi, Delhi, India",28-11-2025,ref to doc,169550,,,,,,,N/A,,23000000,,,,,
66,6988,93375800,2025_HF_66119_1,,,,,,,"West Tripura, Tripura, India",27-11-2025,29-10-2025,,,,,,,,N/A,,22700000,,,,,
67,9175,93997085,2025_MST_817149_1,,,,,,,"Pune, Maharashtra, India",26-11-2025,07-11-2025,,,,,,,,N/A,,22597000,,,,,
68,9333,94048373,,,,,,,,"Pune, Maharashtra, India",26-11-2025,,,,,,,,,N/A,,22597000,,,,,
69,6780,93316869,2025_HITE_251618_1,,,,,,,"Jhajjar, Haryana, India",10-12-2025,14-10-2025,,,,,,,,N/A,,22500000,,,,,
70,9201,94002049,2025_MST_817102_1,,,,,,,"Pune, Maharashtra, India",26-11-2025,07-11-2025,,,,,,,,N/A,,21781266,,,,,
71,9334,94048425,,,,,,,,"Pune, Maharashtra, India",26-11-2025,,,,,,,,,N/A,,21781266,,,,,
72,13205,95031119,2025_PWD_121781_2,,,,,,,"Mandi, Himachal Pradesh, India",04-12-2025,ref to doc,,,,,,,,N/A,,21493906,,,,,
73,12752,94908790,GEM/2025/B/6912411,,,,,,,"Vadodara, Gujarat, India",08-12-2025,ref to doc,59,,,,,,,N/A,,21292581.92,,,,,
74,9832,94149054,2526000195,,,,,,,"Neyveli, Tamil Nadu, India",01-12-2025,ref to doc,,,,,,,,N/A,,21000000,,,,,
75,12218,94774378,GEM/2025/B/6882436,,,,,,,"Nashik, Maharashtra, India",04-12-2025,ref to doc,145,,,,,,,N/A,,20520386,,,,,
76,11218,94514581,2025_GMCK_512580_1,,,,,,,"Kota, Rajasthan, India",08-12-2025,20-11-2025,,,,,,,,N/A,,20000000,,,,,
77,11371,94552875,CMK2526GLOB00161,,,,,,,"Kota, Rajasthan, India",08-12-2025,ref to doc,,,,,,,,N/A,,20000000,,,,,
78,11392,94554862,2025_SINDH_1245108_1,,,,,,,"Sindhudurg, Maharashtra, India",28-11-2025,20-11-2025,,,,,,,,N/A,,20000000,,,,,
79,11796,94649153,2025_JLNMC_512765_1,,,,,,,"Ajmer, Rajasthan, India",08-12-2025,20-11-2025,,,,,,,,N/A,,20000000,,,,,
80,12692,94869222,2025_JLNMC_514857_1,,,,,,,"Ajmer, Rajasthan, India",11-12-2025,26-11-2025,,,,,,,,N/A,,20000000,,,,,
81,12908,94927611,MCA2526GLOB00243,,,,,,,"Ajmer, Rajasthan, India",11-12-2025,ref to doc,,,,,,,,N/A,,20000000,,,,,
82,13214,95032285,GEM/2025/B/6806271,,,,,,,"Pune, Maharashtra, India",17-12-2025,ref to doc,1620,,,,,,,N/A,,19674000,,,,,
83,11558,94594180,GEM/2025/B/6869868,,,,,,,"Mumbai, Maharashtra, India",28-11-2025,,1481085,,,,,,,N/A,,19600000,,,,,
84,7092,93408835,GEM/2025/B/6760602,,,,,,,"Jodhpur, Rajasthan, India",28-11-2025,13-10-2025,1,,,,,,,N/A,,19000000,,,,,
85,9459,94082214,GEM/2025/B/6839427,,,,,,,"Danapur, Bihar, India",28-11-2025,,5,,,,,,,N/A,,18338936.72,,,,,
86,11700,94609873,GEM/2025/B/6867738,,,,,,,"Thane, Maharashtra, India",29-11-2025,17-11-2025,643,,,,,,,N/A,,17400000,,,,,
87,12221,94774844,GEM/2025/B/6802160,,,,,,,"New Delhi, Delhi, India",10-12-2025,ref to doc,1918000,,,,,,,N/A,,17051800,,,,,
88,5237,92917794,2025_HRY_474757_1,,,,,,,"Hisar, Haryana, India",29-11-2025,ref to doc,,,,,,,,N/A,,17000000,,,,,
89,11240,94518347,Bid Reference No.: WBMSCL/NIT-898/2025,,,,,,,"Burdwan, West Bengal, India",03-12-2025,ref to doc,,,,,,,,N/A,,17000000,,,,,
90,11266,94531813,2025_WBMSC_944369_3,,,,,,,"North 24 Pargana, West Bengal, India",03-12-2025,18-11-2025,,,,,,,,N/A,,17000000,,,,,
91,17,88005213,2025_SMSMC_462753_1,,,,,,,"Jaipur, Rajasthan, India",11-12-2025,ref to doc,,,,,,,,N/A,,16670000,,,,,
92,12803,94918525,GEM/2025/B/6917617,,,,,,,"Lucknow, Uttar Pradesh, India",13-12-2025,,30000,,,,,,,N/A,,16030000,,,,,
93,10912,94451912,GEM/2025/B/6763762,,,,,,,"Pune, Maharashtra, India",26-11-2025,ref to doc,12616,,,,,,,N/A,,15983950,,,,,
94,11425,94560721,2025_AYUSH_512976_1,,,,,,,"Ajmer, Rajasthan, India",03-12-2025,20-11-2025,,,,,,,,N/A,,15850000,,,,,
95,5040,92868011,2025_HF_65943_1,,,,,,,"West Tripura, Tripura, India",01-12-2025,09-10-2025,,,,,,,,N/A,,15000000,,,,,
96,10982,94465122,GEM/2025/B/6869866,,,,,,,"Lucknow, Uttar Pradesh, India",02-12-2025,,1,,,,,,,N/A,,15000000,,,,,
97,13063,94992631,2025_AIMSD_887038_2,,,,,,,"New Delhi, Delhi, India",22-12-2025,,,,,,,,,N/A,,15000000,,,,,
98,10037,94209974,2025_HRY_481307_1,,,,,,,"Rohtak, Haryana, India",04-12-2025,13-11-2025,,,,,,,,N/A,,14000000,,,,,
99,10055,94212504,2025_HRY_481313_1,,,,,,,"Rohtak, Haryana, India",04-12-2025,13-11-2025,,,,,,,,N/A,,14000000,,,,,
100,8128,93654800,GEM/2025/B/6765068,,,,,,,"Pune, Maharashtra, India",28-11-2025,ref to doc,1750,,,,,,,N/A,,13155000,,,,,
101,12925,94948678,2025_OSD_67528_1,,,,,,,"West Tripura, Tripura, India",08-12-2025,29-11-2025,,,,,,,,N/A,,12572000,,,,,
102,6306,93205879,GEM/2025/B/6635003,,,,,,,"Pune, Maharashtra, India",28-11-2025,,2365,,,,,,,N/A,,12309187.31,,,,,
103,10940,94454824,2025_HBC_482490_1,,,,,,,"Panchkula, Haryana, India",04-12-2025,,,,,,,,,N/A,,12000000,,,,,
104,11390,94554290,GEM/2025/B/6886373,,,,,,,"Lucknow, Uttar Pradesh, India",29-11-2025,,1,,,,,,,N/A,,11700000,,,,,
105,12742,94906436,2025_MEDIC_515000_1,,,,,,,"Jodhpur, Rajasthan, India",12-12-2025,26-11-2025,,,,,,,,N/A,,11500000,,,,,
106,9661,94131580,GEM/2025/B/6845035,,,,,,,"Bhopal, Madhya Pradesh, India",01-12-2025,06-11-2025,1439520,,,,,,,N/A,,11379405,,,,,
107,10219,94217194,2025_AMSBL_883922_1,,,,,,,"Bilaspur, Himachal Pradesh, India",08-12-2025,11-11-2025,,,,,,,,N/A,,11000000,,,,,
108,12498,94843621,GEM/2025/B/6915070,,,,,,,"New Delhi, Delhi, India",12-12-2025,ref to doc,250000,,,,,,,N/A,,10997500,,,,,
109,12859,94937573,GEM/2025/B/6922108,,,,,,,"Lucknow, Uttar Pradesh, India",13-12-2025,ref to doc,2,,,,,,,N/A,,10500000,,,,,
110,12558,94863242,,,,,,,,"Raichur, Karnataka, India",06-12-2025,,,,,,,,,N/A,,10339000,,,,,
111,12284,94783086,GEM/2025/B/6908320,,,,,,,"Lucknow, Uttar Pradesh, India",15-12-2025,28-11-2025,13,,,,,,,N/A,,10263500,,,,,
112,12038,94727799,GEM/2025/B/6887033,,,,,,,"Lucknow, Uttar Pradesh, India",09-12-2025,,1,,,,,,,N/A,,10100000,,,,,
113,13099,94991980,GEM/2025/B/6880832,,,,,,,"Bangalore, Karnataka, India",16-12-2025,03-12-2025,15,,,,,,,N/A,,10006844,,,,,
114,14,86285667,2025_HITE_229188_8,,,,,,,"Jhajjar, Haryana, India",10-12-2025,ref to doc,,,,,,,,N/A,,10000000,,,,,
115,90,91026553,MHS2526GLOB03138,,,,,,,"Sawaimadhopur, Rajasthan, India",13-07-2026,ref to doc,,,,,,,,N/A,,10000000,,,,,
116,10772,94419649,GEM/2025/B/6820395,,,,,,,"Aurangabad, Maharashtra, India",01-12-2025,ref to doc,131450,,,,,,,N/A,,10000000,,,,,
117,10930,94453194,2025_RNTMC_512191_15,,,,,,,"Udaipur, Rajasthan, India",01-12-2025,14-11-2025,,,,,,,,N/A,,10000000,,,,,
118,10959,94462032,MCU2526GLOB00268,,,,,,,"Udaipur, Rajasthan, India",01-12-2025,ref to doc,,,,,,,,N/A,,10000000,,,,,
119,11202,94511705,MCA2526GLOB00178,,,,,,,"Ajmer, Rajasthan, India",08-12-2025,ref to doc,,,,,,,,N/A,,10000000,,,,,
120,11791,94647891,2025_JLNMC_512651_1,,,,,,,"Ajmer, Rajasthan, India",08-12-2025,20-11-2025,,,,,,,,N/A,,10000000,,,,,
121,11802,94655103,2025_WBMSC_950065_3,,,,,,,"North 24 Pargana, West Bengal, India",10-12-2025,19-11-2025,,,,,,,,N/A,,10000000,,,,,
122,12055,94728755,GEM/2025/B/6891310,,,,,,,"Lucknow, Uttar Pradesh, India",09-12-2025,26-11-2025,1,,,,,,,N/A,,10000000,,,,,
123,12904,94947418,2025_NES_886234_1,,,,,,,"Shillong, Meghalaya, India",18-12-2025,ref to doc,,,,,,,,N/A,,10000000,,,,,
124,12106,94738767,,,,,,,,"New Delhi, Delhi, India",18-12-2025,ref to doc,,,,,,,,N/A,,9937000,,,,,
125,11319,94546083,GEM/2025/B/6795818,,,,,,,"New Delhi, Delhi, India",04-12-2025,ref to doc,20000,,,,,,,N/A,,9774000,,,,,
126,12289,94779811,2025_DMRC_885985_1,,,,,,,"New Delhi, Delhi, India",08-12-2025,25-11-2025,,,,,,,,N/A,,9664000,,,,,
127,11151,94506710,GEM/2025/B/6837857,,,,,,,"Jaipur, Rajasthan, India",26-11-2025,ref to doc,220,,,,,,,N/A,,9663706,,,,,
128,8843,93897132,GEM/2025/B/6823161,,,,,,,"New Delhi, Delhi, India",01-12-2025,27-10-2025,1,,,,,,,N/A,,9500000,,,,,
129,11276,94535222,GEM/2025/B/6806720,,,,,,,"Mumbai, Maharashtra, India",08-12-2025,ref to doc,1,,,,,,,N/A,,9500000,,,,,
130,11402,94556983,MCA2526GLRC00214,,,,,,,"Ajmer, Rajasthan, India",28-11-2025,ref to doc,,,,,,,,N/A,,9500000,,,,,
131,11427,94560830,2025_JLNMC_512958_1,,,,,,,"Ajmer, Rajasthan, India",28-11-2025,18-11-2025,,,,,,,,N/A,,9500000,,,,,
132,12578,94863261,,,,,,,,"Raichur, Karnataka, India",06-12-2025,,,,,,,,,N/A,,9200000,,,,,
133,9822,94148291,2025_WBMSC_936217_1,,,,,,,"North 24 Pargana, West Bengal, India",03-12-2025,11-11-2025,,,,,,,,N/A,,9000000,,,,,
134,10717,94414903,GEM/2025/B/6860447,,,,,,,"Chandigarh Ut, Chandigarh, India",29-11-2025,ref to doc,5058,,,,,,,N/A,,9000000,,,,,
135,13156,95017009,2025_AIMSD_887128_1,,,,,,,"New Delhi, Delhi, India",26-12-2025,03-12-2025,,,,,,,,N/A,,9000000,,,,,
136,12499,94843644,GEM/2025/B/6840561,,,,,,,"Anantnag, Jammu And Kashmir, India",05-12-2025,ref to doc,1151335,,,,,,,N/A,,8798172,,,,,
137,11153,94506728,GEM/2025/B/6838288,,,,,,,"Jaipur, Rajasthan, India",26-11-2025,ref to doc,2014,,,,,,,N/A,,8720119.24,,,,,
138,9083,93955312,GEM/2025/B/6712588,,,,,,,"Bangalore, Karnataka, India",11-12-2025,,66,,,,,,,N/A,,8500000,,,,,
139,12722,94901457,GEM/2025/B/6874502,,,,,,,"Meerut, Uttar Pradesh, India",06-12-2025,ref to doc,805224,,,,,,,N/A,,8470000,,,,,
140,12560,94863279,,,,,,,,"Raichur, Karnataka, India",06-12-2025,,,,,,,,,N/A,,8300000,,,,,
141,11774,94645288,GEM/2025/B/6872590,,,,,,,"Pune, Maharashtra, India",06-12-2025,21-11-2025,115,,,,,,,N/A,,8280000,,,,,
142,12061,94729681,,,,,,,,"Pune, Maharashtra, India",06-12-2025,,,,,,,,,N/A,,8280000,,,,,
143,11317,94546081,GEM/2025/B/6795776,,,,,,,"New Delhi, Delhi, India",04-12-2025,ref to doc,25000,,,,,,,N/A,,8169000,,,,,
144,9869,94166396,GEM/2025/B/6848884,,,,,,,"New Delhi, Delhi, India",01-12-2025,10-11-2025,148,,,,,,,N/A,,8000000,,,,,
145,9880,94169860,GEM/2025/B/6839594,,,,,,,"Lucknow, Uttar Pradesh, India",29-11-2025,11-11-2025,1,,,,,,,N/A,,8000000,,,,,
146,10478,94344089,GEM/2025/B/6852925,,,,,,,"Karaikal, Pondicherry, India",28-11-2025,ref to doc,2,,,,,,,N/A,,8000000,,,,,
147,10496,94344628,GEM/2025/B/6862458,,,,,,,"New Delhi, Delhi, India",06-12-2025,ref to doc,1,,,,,,,N/A,,8000000,,,,,
148,10819,94429228,MCU2526GLOB00253,,,,,,,"Udaipur, Rajasthan, India",01-12-2025,ref to doc,,,,,,,,N/A,,8000000,,,,,
149,10820,94429242,MCU2526GLOB00260,,,,,,,"Udaipur, Rajasthan, India",01-12-2025,ref to doc,,,,,,,,N/A,,8000000,,,,,
150,10833,94429708,2025_RNTMC_512191_7,,,,,,,"Udaipur, Rajasthan, India",01-12-2025,14-11-2025,,,,,,,,N/A,,8000000,,,,,
151,10835,94429724,2025_RNTMC_512191_1,,,,,,,"Udaipur, Rajasthan, India",03-12-2025,14-11-2025,,,,,,,,N/A,,8000000,,,,,
152,11785,94644712,04/CE-cum-ED/GPOA TMPZ/2025-26,,,,,,,"New Delhi, Delhi, India",11-12-2025,24-11-2025,,,,,,,,N/A,,8000000,,,,,
153,12043,94727851,GEM/2025/B/6882051,,,,,,,"New Delhi, Delhi, India",09-12-2025,21-11-2025,1,,,,,,,N/A,,8000000,,,,,
154,12058,94728797,GEM/2025/B/6892578,,,,,,,"Lucknow, Uttar Pradesh, India",09-12-2025,26-11-2025,1,,,,,,,N/A,,8000000,,,,,
155,12700,94869194,2025_JLNMC_514853_1,,,,,,,"Ajmer, Rajasthan, India",11-12-2025,26-11-2025,,,,,,,,N/A,,8000000,,,,,
156,12899,94927472,MCA2526GLOB00242,,,,,,,"Ajmer, Rajasthan, India",11-12-2025,ref to doc,,,,,,,,N/A,,8000000,,,,,
157,5510,92992196,GEM/2025/B/6735808,,,,,,,"Raebareli, Uttar Pradesh, India",28-11-2025,,205400,,,,,,,N/A,,7915000,,,,,
158,9108,93933004,2025_MPPGC_457844_1,,,,,,,"Khandwa, Madhya Pradesh, India",28-11-2025,,,,,,,,,N/A,,7894200,,,,,
